id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8c3c640c,Mikel Oyarzabal,10,ESP,FW,27-129,28,0,0,0,0,1,0,0,1,5,0,0,0,0.1,0.1,0.0,1,0,1,1,100.0,0,4,1,0,0,Real Sociedad,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
8eb55dbb,Sheraldo Becker,11,SUR,FW,29-201,65,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,11,15,73.3,1,9,0,1,0,Real Sociedad,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
686cbe7d,Umar Sadiq,19,NGA,FW,27-208,25,0,0,0,0,1,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,3,8,37.5,0,5,2,3,3,Real Sociedad,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
01e5f06e,Sergio Gómez,17,ESP,LM,23-359,80,0,1,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.7,4,1,23,31,74.2,1,9,0,1,0,Real Sociedad,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
3d99999d,Olasagasti,16,ESP,LM,24-012,10,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,2,1,1,0,Real Sociedad,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
c9e39d91,Brais Méndez,23,ESP,CM,27-234,80,1,0,0,0,2,1,0,0,38,1,0,1,0.5,0.5,0.1,1,0,23,30,76.7,1,18,1,3,1,Real Sociedad,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
a83c19cf,Pablo Marín,28,ESP,RM,21-056,10,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,2,7,28.6,0,2,0,1,1,Real Sociedad,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
3ee0dd59,Martín Zubimendi,4,ESP,"CM,CB",25-208,90,0,0,0,0,2,0,0,0,60,1,1,1,0.1,0.1,0.1,5,1,40,50,80.0,7,22,1,2,1,Real Sociedad,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
16aa3654,Takefusa Kubo,14,JPN,"RM,CM",23-085,90,0,0,0,0,1,0,1,0,48,2,0,2,0.2,0.2,0.0,2,0,22,35,62.9,5,28,3,4,0,Real Sociedad,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
e9ada8cf,Javi López,12,ESP,LB,22-156,90,0,0,0,0,1,0,0,0,47,4,0,1,0.0,0.0,0.0,2,0,28,36,77.8,0,15,2,2,1,Real Sociedad,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
44150beb,Jon Pacheco,20,ESP,CB,23-233,45,0,0,0,0,0,0,1,0,27,0,0,0,0.0,0.0,0.0,0,0,20,25,80.0,1,20,2,0,0,Real Sociedad,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
df33ecb5,Jon Martin,31,ESP,CB,18-240,45,0,0,0,0,2,0,1,0,22,0,1,0,0.1,0.1,0.0,1,0,13,16,81.3,1,15,0,0,0,Real Sociedad,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
5c7845f6,Igor Zubeldia,5,ESP,CB,27-151,80,0,0,0,0,0,0,1,0,47,0,1,0,0.0,0.0,0.0,0,0,36,39,92.3,5,26,1,0,0,Real Sociedad,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
068f4dec,Beñat Turrientes,22,ESP,CM,22-210,10,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,1,0,15,17,88.2,1,8,0,0,0,Real Sociedad,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
a4b1028a,Hamari Traoré,18,MLI,RB,32-214,90,0,0,0,0,0,0,0,0,60,2,1,1,0.0,0.0,0.0,0,0,36,48,75.0,2,17,0,0,0,Real Sociedad,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
374ee424,Álex Remiro,1,ESP,GK,29-157,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,21,36,58.3,0,13,0,0,0,Real Sociedad,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
57be54ec,Asier Villalibre,9,ESP,FW,26-333,62,1,0,1,1,2,0,0,0,13,0,0,1,0.9,0.1,0.0,0,0,2,3,66.7,0,7,1,1,0,Alavés,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
e897d8ba,Kiké,17,ESP,FW,34-277,28,0,0,0,0,3,0,0,0,11,0,0,0,0.1,0.1,0.0,1,1,4,5,80.0,0,7,0,1,1,Alavés,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
